id,screen_name,year,xinzuo,followers_count,friends_count,gender,location,mbrank,verified,verified_type
7818,Hazzxh,00,天秤座,28,117,f,四川,4,False,-1
7819,_君如川泽_,-1,天蝎座,229,468,f,天津,0,True,0
7820,梦深夏日重现,90,巨蟹座,3,138,m,湖南,2,False,-1
7821,画一面大旗挂北极,-1,射手座,144,521,f,山西,1,True,0
7822,-夜阑谣-,90,射手座,235,52,f,浙江,7,False,220
7823,垃阳Adjektiv,00,狮子座,20,968,f,浙江,0,False,-1
7824,Secret_晗寒,90,射手座,52,678,m,辽宁,0,False,-1
7825,世间快乐小黄狗,-1,狮子座,216,1835,m,浙江,1,False,-1
7826,紫紫的卡来洗,00,天蝎座,37,238,f,河北,0,False,-1
7827,只想摊在月亮上的煎蛋,90,处女座,11,220,f,山东,1,False,-1
7828,Secret_晗寒,90,射手座,52,678,m,辽宁,0,False,-1
7829,STY_羊丶日常挂图真君,-1,天秤座,2036,125,m,浙江,6,True,0
7830,生性凉薄别惹我,90,射手座,127,90,f,安徽,3,False,-1
7831,松本有希子,00,双鱼座,1915,290,f,江西,6,True,0
7832,句号号号号号号号号号,-1,狮子座,53,322,f,北京,5,False,-1
7833,Oo全世界我最爱你oO,-1,双鱼座,5600,187,f,山东,7,True,0
7834,莓烦恼的烦恼,-1,天蝎座,3289,275,f,浙江,6,True,0
7835,伏月枯蝶,-1,金牛座,472,4839,f,浙江,3,False,-1
7836,小樢度月,00,双子座,23,66,m,河南,0,False,-1
7837,超凶的Devil,00,金牛座,11,239,f,浙江,1,False,-1
7838,冰甜小呜龙,-1,双子座,1001,412,f,广东,1,True,0
7839,是孤笙鸭,00,双鱼座,135,115,m,河南,6,True,0
7840,上巳十四,00,白羊座,107,328,f,海南,1,False,-1
7841,别胡说不是朕,00,处女座,38,176,f,河北,2,False,-1
7842,无敌可爱兔兔来啦,90,狮子座,26,744,f,湖南,1,False,-1
7843,阿欢要转运,10,金牛座,502,828,f,天津,7,True,0
